N,seed,weight_reg_one,val_loss_inverse_distortion,val_loss_inverse_distortion_clamped,val_reg_one,val_reg_one_clamped,val_reg_zero,val_reg_zero_clamped
8,492,0.25,0.001179828541353345,0.001179828541353345,0.004378277808427811,0.004378277808427811,0.41743794083595276,0.41743794083595276
8,615,0.25,0.000988527201116085,0.000988527201116085,0.005330251529812813,0.005330251529812813,0.4236189126968384,0.4236189126968384
8,738,0.25,0.0010584593983367085,0.0010584593983367085,0.004435217939317226,0.004435217939317226,0.4152781069278717,0.4152781069278717
8,861,0.25,0.0011480901157483459,0.0011480901157483459,0.0047255754470825195,0.0047255754470825195,0.41578471660614014,0.41578471660614014
8,984,0.25,0.0011101843556389213,0.0011101843556389213,0.0044421665370464325,0.0044421665370464325,0.42003801465034485,0.42003801465034485
9,123,0.0,0.00014168457710184157,0.00014168457710184157,0.043518126010894775,0.043518126010894775,0.38211357593536377,0.38211357593536377
9,246,0.0,0.00010947420378215611,0.00010947420378215611,0.03200197592377663,0.03200197592377663,0.38114047050476074,0.38114047050476074
9,369,0.0,0.00012279798102099448,0.00012279798102099448,0.129235178232193,0.129235178232193,0.38545718789100647,0.38545718789100647
9,492,0.0,0.0004855889128521085,0.0004855889128521085,3.2866649627685547,3.2866649627685547,0.3758380115032196,0.3758380115032196
9,615,0.0,0.00015577701560687274,0.00015577701560687274,0.1328461766242981,0.1328461766242981,0.385405570268631,0.385405570268631
9,738,0.0,0.0001272891677217558,0.0001272891677217558,0.12975537776947021,0.12975537776947021,0.38509562611579895,0.38509562611579895
9,861,0.0,0.00012872192019131035,0.00013649479660671204,2.1251068115234375,2.1251068115234375,0.38192638754844666,0.3816755712032318
9,984,0.0,0.0001666147290961817,0.0001666147290961817,2.437159299850464,2.437159299850464,0.3801036775112152,0.3801036775112152
9,123,0.25,0.004025152884423733,0.004025152884423733,0.009997643530368805,0.009997643530368805,0.3634841740131378,0.3634841740131378
9,246,0.25,0.004302383400499821,0.004302383400499821,0.008632729761302471,0.008632729761302471,0.35954180359840393,0.35954180359840393
9,369,0.25,0.00047201343113556504,0.00047201343113556504,0.0015314994379878044,0.0015314994379878044,0.40504151582717896,0.40504151582717896
9,492,0.25,0.003946054261177778,0.003946054261177778,0.010497791692614555,0.010497791692614555,0.36287519335746765,0.36287519335746765
9,615,0.25,0.0037882684264332056,0.0037882684264332056,0.010911411605775356,0.010911411605775356,0.3674848973751068,0.3674848973751068
9,738,0.25,0.003764244494959712,0.003764244494959712,0.010833857581019402,0.010833857581019402,0.3669731318950653,0.3669731318950653
9,861,0.25,0.004129733890295029,0.004129733890295029,0.009534203447401524,0.009534203447401524,0.36222973465919495,0.36222973465919495
9,984,0.25,0.0037175831384956837,0.0037175831384956837,0.010678518563508987,0.010678518563508987,0.36710476875305176,0.36710476875305176
10,123,0.0,0.00017117585230153054,0.00017117585230153054,3.179990530014038,3.179990530014038,0.37533703446388245,0.37533703446388245
10,246,0.0,0.00022332314983941615,0.00022332314983941615,0.04416878521442413,0.04416878521442413,0.37310388684272766,0.37310388684272766
